IDPROV,NombreProv,Censo1996,Vot1996,Parti1996,VBlan1996,PP_1996,PSOE_1996,IU_1996,CIU_1996,EAJPN_1996,OTROS1996,Censo2000,Vot2000,Parti2000,VBlan2000,PP_2000,PSOE_2000,IU_2000,CIU_2000,EAJPN_2000,OTROS2000,Censo2004,Vot2004,Parti2004,VBlan2004,PSOE_2004,PP_2004,IU_2004,CIU_2004,ERC_2004,OTROS2004,Censo2008,Vot2008,Parti2008,VBlan2008,PSOE2008,PP_2008,IU_2008,CIU_2008,EAJPN_2008,OTROS2008,Censo2011,Vot2011,Partici2011,VBlan2011,PP_2011,PSOE_2011,IU_2011,UPYD_2011,CIU_2011,OTROS2011,Censo2016,Vot2016,Particip,VBlan2016,PP_2016,PSOE_2016,PODEM_2016,Cs_2016,UPC2015,Otros2016
32,Ourense                                           ,327706,232203,70.25,1583,48.79,36.26,1.70,0.00,0.00,13.25,346888,226105,64.79,2037,57.19,23.08,0.72,0.00,0.00,19.01,355008,241498,67.59,2559,31.10,55.27,0.86,0.00,0.00,12.77,355289,243639,68.11,1783,38.98,47.29,0.69,0.00,0.00,13.05,362679,207140,56.33,2857,56.68,28.07,2.33,0.82,0.00,12.10,364469,186177,51.08,1527,49.70,23.33,15.65,7.05,0.00,4.26
33,Asturias                                          ,958412,727567,75.55,6805,41.03,39.85,15.51,0.00,0.00,3.60,981504,657553,66.55,10985,46.33,37.02,10.26,0.00,0.00,6.39,986352,707557,71.34,14453,43.38,43.77,8.42,0.00,0.00,4.43,982230,700268,70.83,8630,46.93,41.58,7.18,0.00,0.00,4.31,989045,638629,63.94,8392,35.40,29.34,13.24,3.91,0.00,18.11,982837,594699,60.51,5374,35.25,24.87,23.85,12.60,8.43,3.42
34,Palencia                                          ,153205,124060,80.48,1688,51.29,37.91,7.94,0.00,0.00,2.86,154718,116576,74.72,2251,55.52,35.78,4.25,0.00,0.00,4.45,152681,121286,78.80,2362,43.08,50.25,2.84,0.00,0.00,3.84,150130,118856,78.57,1440,43.59,49.72,2.60,0.00,0.00,4.09,147783,108191,72.10,1775,55.15,31.28,5.87,4.40,0.00,3.30,143769,100626,69.99,838,45.68,24.60,14.98,12.35,4.48,2.39
35,Las Palmas                                        ,648047,461598,70.89,2919,42.41,25.85,5.73,0.00,0.00,26.01,717880,442046,61.10,3969,48.05,18.40,2.49,0.00,0.00,31.06,736157,498492,67.26,6049,33.92,42.21,1.99,0.00,0.00,21.88,763957,510391,66.29,4078,42.56,39.70,1.09,0.00,0.00,16.64,794522,480603,59.42,6990,51.03,26.16,4.23,2.80,0.00,15.79,842916,502506,59.62,3502,33.89,23.75,22.54,12.97,0.00,6.85
36,Pontevedra                                        ,770239,554927,71.55,5526,47.11,32.48,4.06,0.00,0.00,16.35,822687,537371,64.84,7419,53.42,23.03,1.48,0.00,0.00,22.08,848707,612137,71.59,10009,37.53,45.99,2.17,0.00,0.00,14.32,868560,619118,70.75,6471,40.53,43.69,1.57,0.00,0.00,14.21,890054,568485,62.78,8068,50.84,28.08,4.62,1.34,0.00,15.13,901233,544673,60.44,4418,38.36,21.81,25.17,8.87,0.00,5.79
37,Salamanca                                         ,307289,243171,78.66,3367,54.09,35.04,8.08,0.00,0.00,2.80,315419,224527,70.62,4613,58.52,32.67,3.68,0.00,0.00,5.13,312421,239375,76.07,4692,39.83,54.25,1.98,0.00,0.00,3.94,311095,238068,75.99,2914,39.96,53.78,1.73,0.00,0.00,4.53,312001,217571,68.80,3223,60.04,26.24,4.31,6.18,0.00,3.22,308612,202483,65.61,1443,48.24,21.36,12.56,15.74,3.34,2.09
38,Santa Cruz de Tenerife                            ,627867,420565,66.75,2098,32.38,34.48,5.22,0.00,0.00,27.92,675530,403302,59.38,3264,34.98,26.34,2.31,0.00,0.00,36.36,721781,473984,65.35,4333,35.01,28.34,1.85,0.00,0.00,34.80,762221,494904,64.58,3258,36.49,30.17,1.41,0.00,0.00,31.93,792773,465405,57.75,5054,44.83,23.50,4.40,2.47,0.00,24.80,833373,476666,57.20,2783,34.22,21.21,17.87,11.03,3.30,15.66
39,Cantabria                                         ,441934,350477,78.74,5578,50.47,35.61,11.36,0.00,0.00,2.55,468607,336508,71.12,8726,56.84,33.47,5.02,0.00,0.00,4.67,479189,370070,76.55,8267,40.87,51.90,3.31,0.00,0.00,3.92,488009,372732,75.78,4551,43.61,49.99,2.27,0.00,0.00,4.13,496483,355289,70.75,4157,52.17,25.23,3.59,3.59,0.00,15.42,498203,337567,67.76,2454,41.55,23.52,17.73,14.40,4.42,2.80
40,Segovia                                           ,124291,99726,79.62,1514,54.76,32.24,8.90,0.00,0.00,4.11,126484,95634,74.78,2223,57.48,30.85,5.18,0.00,0.00,6.49,124638,101091,80.31,2183,39.94,52.45,3.47,0.00,0.00,4.15,124226,100759,80.45,1292,39.05,53.43,2.66,0.00,0.00,4.86,123481,94269,74.90,1477,56.41,26.79,5.66,7.45,0.00,3.69,120823,88525,73.27,615,45.38,21.48,15.18,15.36,4.07,2.60
41,Sevilla                                           ,1313998,1047172,79.29,10812,31.42,50.05,13.41,0.00,0.00,5.11,1401582,977512,69.31,16727,34.98,49.02,8.28,0.00,0.00,7.71,1432031,1103758,76.62,19960,58.27,27.93,6.68,0.00,0.00,7.11,1469076,1084712,73.42,12019,58.09,31.49,5.39,0.00,0.00,5.03,1506129,1072646,70.39,13596,38.68,41.72,8.63,5.52,0.00,5.46,1531806,1033112,67.44,9582,29.03,33.63,20.78,13.37,5.72,3.20
42,Soria                                             ,79602,59441,74.10,1083,55.20,34.29,7.90,0.00,0.00,2.60,79525,55114,68.56,1527,58.47,31.98,4.33,0.00,0.00,5.22,78531,59071,73.17,1255,38.79,50.80,2.14,0.00,0.00,8.28,77370,57419,72.42,972,42.60,49.80,2.24,0.00,0.00,5.37,77355,52252,66.05,1295,54.93,31.45,4.67,4.29,0.00,4.67,76814,49618,64.59,600,44.87,25.72,15.32,11.45,3.54,2.65
43,Tarragona                                         ,463682,351089,75.32,2152,20.06,38.08,5.03,30.77,0.00,6.07,489921,316528,64.12,4136,24.34,32.41,1.40,31.07,0.00,10.77,516584,386841,74.53,3398,35.49,17.02,3.82,21.55,19.83,2.30,543383,379635,69.34,5139,44.92,17.77,3.04,21.13,0.00,13.15,554799,353244,62.49,7106,23.64,26.10,5.35,1.06,30.53,13.31,562990,344620,61.21,3060,14.87,15.66,21.86,11.34,0.00,36.27
44,Teruel                                            ,119160,92334,77.06,1158,49.23,41.22,6.00,0.00,0.00,3.55,118390,85463,71.16,1193,47.93,33.81,2.89,0.00,0.00,15.36,116141,88687,75.75,1349,41.09,40.83,2.86,0.00,0.00,15.23,114212,87453,75.99,944,44.50,39.62,2.62,0.00,0.00,13.27,112301,78929,68.77,1694,51.78,32.92,7.90,3.44,0.00,3.95,109380,74922,68.50,704,41.26,26.33,16.76,13.18,0.00,2.48
45,Toledo                                            ,407464,342874,83.58,2720,48.25,41.77,8.19,0.00,0.00,1.79,427326,331529,76.95,3624,52.72,40.25,4.57,0.00,0.00,2.46,450322,364046,80.14,4998,46.50,47.47,3.52,0.00,0.00,2.51,488388,395559,80.39,3058,42.95,51.24,2.96,0.00,0.00,2.85,514208,391154,74.86,4422,57.27,29.24,5.81,4.96,0.00,2.71,518206,367503,70.92,1974,43.41,26.59,14.69,12.98,3.53,2.33
46,Valencia / València                               ,1781719,1453121,81.18,11175,42.03,36.98,12.09,0.00,0.00,8.91,1873447,1351219,71.69,16128,50.47,33.23,6.52,0.00,0.00,9.77,1884604,1464020,77.20,21438,42.19,45.75,5.40,0.00,0.57,6.10,1899263,1502871,78.59,12279,40.20,51.62,3.13,0.00,0.00,5.06,1921158,1439140,74.09,14515,52.24,26.03,6.77,5.93,0.00,9.03,1946046,1419521,72.94,8508,34.02,20.13,27.77,14.48,4.72,3.61
47,Valladolid                                        ,416340,339224,81.05,4844,48.85,35.84,12.63,0.00,0.00,2.68,425123,319760,74.71,7117,53.14,35.13,6.06,0.00,0.00,5.66,431774,350444,80.69,7578,44.60,46.79,3.74,0.00,0.00,4.87,433204,350959,80.61,3795,42.63,49.28,3.17,0.00,0.00,4.92,434477,330010,75.11,4719,52.91,28.96,7.42,7.21,0.00,3.49,433056,315768,72.92,2234,41.81,22.73,16.35,15.61,5.45,3.50
48,Bizkaia                                           ,970592,703629,72.00,9063,18.44,23.79,9.72,0.00,29.20,18.84,981571,657525,66.26,17584,27.26,22.86,5.79,0.00,34.21,9.88,974742,739164,71.11,8754,26.76,18.74,8.58,0.00,0.00,45.92,956709,637094,65.95,10581,36.99,18.40,4.35,0.00,31.10,9.15,949471,646432,67.39,7285,17.72,21.39,3.78,1.70,0.00,55.41,948080,621219,65.52,3907,12.71,13.91,28.87,3.33,0.00,41.18
49,Zamora                                            ,181733,140307,76.64,1677,54.01,36.98,5.62,0.00,0.00,3.39,185365,129258,69.02,2196,58.83,32.44,2.84,0.00,0.00,5.89,182379,135768,73.82,2525,39.93,53.35,2.51,0.00,0.00,4.21,179355,134297,74.03,1580,42.78,51.42,2.26,0.00,0.00,3.54,178365,119759,66.22,2057,57.76,29.68,5.22,3.93,0.00,3.41,173320,108893,62.83,1010,48.26,23.92,14.15,11.41,4.85,2.27
50,Zaragoza                                          ,708732,549031,77.12,6221,48.27,31.94,10.07,0.00,0.00,9.72,722669,516093,71.01,7138,47.63,29.17,3.71,0.00,0.00,19.49,726811,561450,76.82,11703,40.26,35.55,2.81,0.00,0.00,21.39,725943,551149,75.55,6917,46.40,36.46,2.87,0.00,0.00,14.28,730496,521455,70.35,9951,46.91,30.78,11.46,6.42,0.00,4.43,734064,513135,69.90,4124,34.92,24.42,20.31,16.84,0.00,3.50
51,Ceuta                                             ,51298,32732,63.34,395,53.21,35.79,2.21,0.00,0.00,8.79,55848,30801,54.61,497,47.59,18.00,0.75,0.00,0.00,33.66,56751,36010,62.89,515,35.78,59.24,0.61,0.00,0.00,4.38,57805,36605,62.91,342,40.47,55.11,0.67,0.00,0.00,3.75,60723,32282,52.38,498,65.93,20.26,1.81,3.34,0.00,8.66,61587,30837,50.07,316,51.86,22.62,10.85,11.51,1.30,3.17
52,Melilla                                           ,44415,27514,61.38,441,50.57,43.32,3.48,0.00,0.00,2.62,48985,26450,53.61,551,49.80,20.42,1.51,0.00,0.00,28.26,49129,27432,55.38,435,41.43,54.60,0.84,0.00,0.00,3.12,50711,32295,63.21,285,48.10,49.03,0.00,0.00,0.00,2.86,54690,27034,48.87,496,66.71,25.32,0.00,3.71,0.00,4.27,57795,27121,46.93,268,49.86,25.09,9.83,12.36,1.30,2.86
